,id,km4week,sp4week,MarathonTime
count,87.0,87.0,87.0,87.0
mean,44.0,62.34712643678161,139.84070632809195,3.319080459770115
std,25.25866188063018,26.956018610340756,1191.4278638438957,0.3769233843064071
min,1.0,17.9,8.031413613,2.37
25%,22.5,44.2,11.498168495,3.045
50%,44.0,58.8,12.16342412,3.32
75%,65.5,77.5,12.8540359,3.605
max,87.0,137.5,11125.0,3.98
